-FeedSpeed,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,0
-CurrentX,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,2
-TargetX,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,4
-CurrentY,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,6
-TargetY,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,8
-ArrayIndex,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,10
-ArrayIndexLimit,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,12
-ArrayIndexMax,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,14
-ArrayLength,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,16
-CurrentFeedSpeedX,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,18
-CurrentFeedSpeedY,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,D,20
-IsOn,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,M,0
-RunButton,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,M,1
-StopButton,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,M,2
-AutoNextLine,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,M,3
-FileEnded,Mitsubishi FX0s/FX0n/FX1s/FX1n/FX2,M,4
